Citation,Continent,Country,Latitude,Longtitude,asl,MAT,MAP,Vegetation species,Forest age,soilCN,Duration,Ambient_level,Manipulated_level,dco2,Fumigation,Response_variable,R,v,Note
Allen et al. 2000,North America,USA,35.97 ,-79.08 ,130,15.5 ,1145 ,Pinus  taeda,13,18.1,36.0 ,365,565,200,FACE,Nmin,0.12 ,0.67 ,Duke FACE
Allen et al. 2000,North America,USA,35.97 ,-79.08 ,130,15.5 ,1145 ,Pinus  taeda,13,18.1,36.0 ,365,565,200,FACE,Nmin,-0.29 ,0.67 ,Duke FACE
Allen et al. 2000,North America,USA,35.97 ,-79.08 ,130,15.5 ,1145 ,Pinus  taeda,13,18.1,36.0 ,365,565,200,FACE,Nmin,-1.04 ,0.67 ,Duke FACE
Ambus & Robertson 1999,North America,USA,45.57 ,-84.67 ,217 ,6.1 ,792 ,Populus tremuloides,seedling,9.93,24.0 ,372,744,372,OTC,N2O,0.67 ,0.40 ,
Ambus & Robertson 1999,North America,USA,45.57 ,-84.67 ,217 ,6.1 ,792 ,Populus tremuloides,seedling,9.93,24.0 ,372,744,372,OTC,N2O,-0.24 ,0.40 ,
Ambus & Robertson 1999,North America,USA,45.57 ,-84.67 ,217 ,6.1 ,792 ,Populus tremuloides,seedling,9.93,24.0 ,372,744,372,OTC,Denitri,0.14 ,0.40 ,
Ambus & Robertson 1999,North America,USA,45.57 ,-84.67 ,217 ,6.1 ,792 ,Populus tremuloides,seedling,9.93,24.0 ,372,744,372,OTC,Denitri,-0.17 ,0.40 ,
Ambus & Robertson 1999,North America,USA,45.57 ,-84.67 ,217 ,6.1 ,792 ,Populus tremuloides,seedling,9.93,24.0 ,372,744,372,OTC,Denitri,0.32 ,0.40 ,
Ambus & Robertson 1999,North America,USA,45.57 ,-84.67 ,217 ,6.1 ,792 ,Populus tremuloides,seedling,9.93,24.0 ,372,744,372,OTC,Denitri,0.17 ,0.40 ,
Ambus & Robertson 1999,North America,USA,45.57 ,-84.67 ,217 ,6.1 ,792 ,Populus tremuloides,seedling,9.93,24.0 ,372,744,372,OTC,Denitri,0.02 ,0.40 ,
Ambus & Robertson 1999,North America,USA,45.57 ,-84.67 ,217 ,6.1 ,792 ,Populus tremuloides,seedling,9.93,24.0 ,372,744,372,OTC,Denitri,0.11 ,0.40 ,
Ambus & Robertson 1999,North America,USA,45.57 ,-84.67 ,217 ,6.1 ,792 ,Populus tremuloides,seedling,9.93,24.0 ,372,744,372,OTC,TIN,0.07 ,0.40 ,
Arnone & Gordon 1990,North America,USA,36.00 ,-78.94 ,70 ,14.5 ,1010 ,Alnus rubra,seedling,18.9 ,1.5 ,350,650,300,Growth Chamber,BNF,0.52 ,0.40 ,symbiotic N-fixing
Arnone & Gordon 1990,North America,USA,36.00 ,-78.94 ,70 ,14.5 ,1010 ,Alnus rubra,seedling,18.9 ,1.5 ,350,650,300,Growth Chamber,BNF,0.71 ,0.40 ,symbiotic N-fixing
"Arnone and K?rner, 1995",Europe,Costa Rica,9.61 ,-83.82 ,283 ,20.0 ,2614 ,"Elettaria cardamomum, Ficus benjamina, E pumila, Epipremnum pinnatum, Ctenanthe lubbersiana, Heliconia humilis, Cecropia peltata",seedling,,18.0 ,340,610,270,Greenhouse,SOC,0.03 ,1.00 ,"Sampling in Costa Rica, cultivation in Switzerland"
"Arnone and K?rner, 1995",Europe,Costa Rica,9.61 ,-83.82 ,283 ,20.0 ,2614 ,"Elettaria cardamomum, Ficus benjamina, E pumila, Epipremnum pinnatum, Ctenanthe lubbersiana, Heliconia humilis, Cecropia peltata",seedling,,18.0 ,340,610,270,Greenhouse,Stembiomass,0.01 ,1.00 ,"Sampling in Costa Rica, cultivation in Switzerland"
"Arnone and K?rner, 1995",Europe,Costa Rica,9.61 ,-83.82 ,283 ,20.0 ,2614 ,"Elettaria cardamomum, Ficus benjamina, E pumila, Epipremnum pinnatum, Ctenanthe lubbersiana, Heliconia humilis, Cecropia peltata",seedling,,18.0 ,340,610,270,Greenhouse,Rootbiomass,0.14 ,1.00 ,"Sampling in Costa Rica, cultivation in Switzerland"
"Arnone and K?rner, 1995",Europe,Costa Rica,9.61 ,-83.82 ,283 ,20.0 ,2614 ,"Elettaria cardamomum, Ficus benjamina, E pumila, Epipremnum pinnatum, Ctenanthe lubbersiana, Heliconia humilis, Cecropia peltata",seedling,,18.0 ,340,610,270,Greenhouse,Leafbiomass,0.03 ,1.00 ,"Sampling in Costa Rica, cultivation in Switzerland"
Barron-Gafford et al. 2005,North America,USA,32.58 ,-110.93 ,1174,18.8 ,423 ,Populus deltoides,seedling,8.8 ,48.0 ,400,800,400,Growth Chamber,Rs,0.34 ,0.40 ,
Barron-Gafford et al. 2005,North America,USA,32.58 ,-110.93 ,1174,18.8 ,423 ,Populus deltoides,seedling,8.8 ,48.0 ,400,1200,800,Growth Chamber,Rs,0.54 ,0.40 ,
Belote et al. 2003,North America,USA,35.90 ,-84.33 ,230,13.9 ,1371 ,Liquidambar styraciflua,10,7.4,48.0 ,384,565,181,FACE,ANPP,-0.69 ,1.00 ,Oak Ridge FACE
